Issuekey,IssueId,Summary,Complexity,Component1,Component2,Component3,TestCoverage
EBBT-7758,853026,JVoip ,M,Regression Test,,,
EBBT-5213,397959,[REGRESSION] Ticketless,L,Regression Test,,,
EBBT-5209,397955,[REGRESSION] Lane Section,,Regression Test,,,
EBBT-7365,765171,[REGRESSION] JPass,L,Regression Test,,,
EBBT-6262,485645,[REGRESSION] Localization - Honduras / Dominican Republic,L,Regression Test,,,
EBBT-5200,397945,[REGRESSION] Occupancy & Counters Management,M,Regression Test,,,
EBBT-7854,877407,[REGRESSION] Philippines Localization,M,Regression Test,,,
EBBT-8340,1031378,[REGRESSION-CLOUD] Basic tests for Membership feature,,Cloud,Regression Test,,0%
EBBT-5182,397925,[REGRESSION] Transient Management,L,Regression Test,,,
EBBT-6616,522544,[REGRESSION-CLOUD] JWorld - JPass,S,Cloud,Regression Test,,
EBBT-7846,874868,[REGRESSION-CAAT] Implement contract management submitted at “Membership” logic in JW Backoffice,XL,Automated Test,Regression Test,,50%
EBBT-5211,397957,[REGRESSION] External Service,L,Automated Test,Regression Test,,
EBBT-5926,460127,[REGRESSION] Ignore consecutive reading of same UID for a configurable time,XS,Automated Test,Regression Test,,100%
EBBT-8220,992749,[REGRESSION] Associate LPN to External Ticket,,Regression Test,,,
EBBT-5074,392517,[REGRESSION] Points Card Product Profile,M,Automated Test,Regression Test,,50%
EBBT-6974,662666,[REGRESSION] Easypark integration,M,Regression Test,,,
EBBT-6955,658266,[REGRESSION] J4M Vouchers for EBB,M,Regression Test,,,
EBBT-5230,397978,[REGRESSION] User category association in product profiles,,Regression Test,,,
EBBT-5184,397927,[REGRESSION] Voucher Management,,Regression Test,,,
EBBT-5225,397973,[REGRESSION] Issuing Contract From .csv from FTP,S,Regression Test,,,
EBBT-5216,397963,[REGRESSION] Telepass,,Regression Test,,,
EBBT-5526,425902,[REGRESSION] Pre-payment for transient users on APS/APC,,Regression Test,,,
EBBT-6670,525678,"[REGRESSION]APB: (Soft, Hard, Reset) for contracts",S,Regression Test,,,
EBBT-7850,874887,[REGRESSION] Aristocrat integration,XS,Regression Test,,,
EBBT-5338,409684,[REGRESSION] ATOUTPORT integration,S,Regression Test,,,
EBBT-5190,397934,[REGRESSION] EBB Install Manager + Agent,XS,Regression Test,,,
EBBT-7851,874888,[REGRESSION-CLOUD] Merlin integration,L,Cloud,Regression Test,,
EBBT-8224,994523,[REGRESSION-CAAT] Improvements and bugs requested to be solved during MVP Startup for CAAT,,Regression Test,,,
EBBT-5203,397948,[REGRESSION] Multi JBL Management,XL,Regression Test,,,25%
EBBT-5198,397942,[REGRESSION] Service Card Management,XS,Automated Test,Regression Test,,
EBBT-5201,397946,[REGRESSION] EBB Configuration Tile,M,Regression Test,,,
EBBT-6678,529545,[REGRESSION-CAAT] New implementations on JMS and JW Backoffice related to CAAT,L,Regression Test,,,
EBBT-5186,397929,[REGRESSION] Online Validator,S,Regression Test,,,
EBBT-7853,877404,[REGRESSION] Accepting multiple currencies on APS,L,Regression Test,,,
EBBT-5194,397938,[REGRESSION] Credit card In / OUT,,Regression Test,,,
EBBT-5222,397969,[REGRESSION] Bulgaria Localization,L,Regression Test,,,
EBBT-7910,889534,[REGRESSION-CLOUD] Update JBL-JPS on Linux,M,Cloud,Regression Test,,
EBBT-5188,397931,[REGRESSION] APS Products,M,Regression Test,,,50%
EBBT-5212,397958,[REGRESSION] Report Check,,Regression Test,,,
EBBT-7363,765136,[REGRESSION] Basic Entities,XL,Automated Test,Regression Test,,100%
EBBT-8624,1105250,[REGRESSION]  Unipol Move new toll road provider (OP-586 IT),XS,Regression Test,,,0%
EBBT-5339,409692,[REGRESSION] Dynamic Pricing,S,Regression Test,,,
EBBT-7005,667829,[REGRESSION] Daily Cards for JP & EBB,,Regression Test,,,
EBBT-8622,1105248,[REGRESSION]  Event ticket (OP-581 IT),M,Automated Test,Regression Test,,100%
EBBT-8773,1185414,[REGRESSION] FCJ - Start Money Configuration,S,Regression Test,,,0%
EBBT-6258,485023,[REGRESSION] Action reasons configuration - replace current complicated wizard with new UI,,Regression Test,,,
EBBT-6273,486240,[REGRESSION] Portugal fiscalization,M,Regression Test,,,
EBBT-6619,522547,[REGRESSION-CLOUD] Anonymous tickets,,Cloud,Regression Test,,
EBBT-8191,984397,[Regression] Hotel Solution,M,Regression Test,,,
EBBT-7852,874890,[REGRESSION] Insert Additional Services to Transient tickets,S,Regression Test,,,
EBBT-5227,397975,[REGRESSION] Guatemala Localization,M,Regression Test,,,
EBBT-5187,397930,[REGRESSION] Door Reader,S,Regression Test,,,
EBBT-5841,454059,[REGRESSION] Tariff Trigger based on LPR,XS,Regression Test,,,
EBBT-5199,397943,[REGRESSION] Congress Ticket,S,Automated Test,Regression Test,,50%
EBBT-5214,397961,[REGRESSION] Gateless,L,Regression Test,,,
EBBT-5217,397964,[REGRESSION] Credit Receipt Refund,XS,Regression Test,,,
EBBT-5219,397966,[REGRESSION] Event Parking,M,Regression Test,,,
EBBT-5827,453481,[REGRESSION] El Salvador Fiscal Policy,M,Regression Test,,,
EBBT-7856,877411,[REGRESSION] LPR cropped image support,XS,Regression Test,,,
EBBT-8791,1186586,[REGRESSION] FCJ - Money Refill\Withdraw Configuration,,Regression Test,,,0%
